datetime,forecast_fair_value,prompt_reference,baseload_spread,spread_pct,curve_positioning,confidence_level
2026-05-18,136.39208333333332,98.8679,37.52418333333331,37.95385897074107,LONG,HIGH
2026-05-19,127.87124999999999,98.8679,29.003349999999983,29.33545670536138,LONG,HIGH
2026-05-20,109.25958333333334,98.8679,10.391683333333333,10.510674681401479,LONG,MEDIUM
2026-05-21,109.41125,98.8679,10.54334999999999,10.66407802734759,LONG,MEDIUM
2026-05-22,106.735,98.8679,7.8670999999999935,7.95718327182027,LONG,LOW
2026-05-23,78.20458333333333,98.8679,-20.663316666666674,-20.89992471435792,SHORT,HIGH
2026-05-24,65.78416666666666,98.8679,-33.08373333333334,-33.46256300916004,SHORT,HIGH
2026-05-25,79.91083333333333,98.8679,-18.957066666666677,-19.17413707246404,SHORT,HIGH
2026-05-26,101.08833333333332,98.8679,2.220433333333318,2.2458586996723082,NEUTRAL,LOW
2026-05-27,85.23625,98.8679,-13.631650000000008,-13.787741016042625,SHORT,MEDIUM
2026-05-28,114.2925,98.8679,15.424599999999998,15.60122142778394,LONG,HIGH
2026-05-29,104.70458333333333,98.8679,5.836683333333326,5.903517049854731,LONG,LOW
2026-05-30,85.86,98.8679,-13.007900000000006,-13.156848683951013,SHORT,MEDIUM
2026-05-31,90.15791666666667,98.8679,-8.70998333333334,-8.809718152538224,SHORT,MEDIUM
2026-06-01,144.43458333333334,98.8679,45.56668333333333,46.08845068352147,LONG,HIGH
2026-06-02,126.27041666666666,98.8679,27.402516666666656,27.71629281765533,LONG,HIGH
2026-06-03,105.24791666666665,98.8679,6.3800166666666485,6.453071893573798,LONG,LOW
2026-06-04,65.84958333333334,98.8679,-33.018316666666664,-33.39639728027667,SHORT,HIGH
2026-06-05,98.30208333333333,98.8679,-0.5658166666666773,-0.5722956254423097,NEUTRAL,LOW
2026-06-06,90.95583333333333,98.8679,-7.912066666666675,-8.00266483526673,SHORT,LOW
2026-06-07,43.67208333333334,98.8679,-55.195816666666666,-55.827843685024824,SHORT,HIGH
2026-06-08,126.375,98.8679,27.507099999999994,27.822073696315986,LONG,HIGH
2026-06-09,100.72583333333334,98.8679,1.8579333333333352,1.8792078453505487,NEUTRAL,LOW
2026-06-10,119.78000000000002,98.8679,20.91210000000001,21.151556774241193,LONG,HIGH
2026-06-11,112.93458333333332,98.8679,14.066683333333316,14.227755756249818,LONG,MEDIUM
2026-06-12,98.71791666666667,98.8679,-0.14998333333333846,-0.15170073738123138,NEUTRAL,LOW
2026-06-13,28.653333333333336,98.8679,-70.21456666666667,-71.01856787356327,SHORT,HIGH
2026-06-14,26.852083333333336,98.8679,-72.01581666666667,-72.84044332555527,SHORT,HIGH
2026-06-15,78.2475,98.8679,-20.620400000000004,-20.856516624708327,SHORT,HIGH
2026-06-16,112.14958333333334,98.8679,13.281683333333334,13.433767009649575,LONG,MEDIUM
